source_train,target_test,model,audit_scope,corruption_family,severity,corruption,precision,recall,mAP50,mAP50_95,source_file
CropAndWeed,PhenoBench-val,RT-DETR-L,representative_cross_dataset_detection_severity,clean,clean,clean,0.2645439201718058,0.2735549007572434,0.1811902428227311,0.1354674878646943,revision_v55_major\outputs\revision\cross_dataset_detection_stress_severity\rtdetr_l_cw_seed0_to_phenobench\tableS_cross_dataset_detection_stress_severity.csv
CropAndWeed,PhenoBench-val,RT-DETR-L,representative_cross_dataset_detection_severity,blur,3,gaussian_blur_3,0.1834589759853881,0.1997464219595562,0.1047703541000163,0.0707992795717402,revision_v55_major\outputs\revision\cross_dataset_detection_stress_severity\rtdetr_l_cw_seed0_to_phenobench\tableS_cross_dataset_detection_stress_severity.csv
CropAndWeed,PhenoBench-val,RT-DETR-L,representative_cross_dataset_detection_severity,blur,5,gaussian_blur_5,0.1649046952095358,0.1501162744498653,0.09924832680863,0.0642508998091745,revision_v55_major\outputs\revision\cross_dataset_detection_stress_severity\rtdetr_l_cw_seed0_to_phenobench\tableS_cross_dataset_detection_stress_severity.csv
CropAndWeed,PhenoBench-val,RT-DETR-L,representative_cross_dataset_detection_severity,blur,7,gaussian_blur_7,0.2025663100083594,0.1400490882510101,0.112096467543745,0.0691301996543878,revision_v55_major\outputs\revision\cross_dataset_detection_stress_severity\rtdetr_l_cw_seed0_to_phenobench\tableS_cross_dataset_detection_stress_severity.csv
CropAndWeed,PhenoBench-val,RT-DETR-L,representative_cross_dataset_detection_severity,jpeg,70,jpeg_quality_70,0.2565619016242388,0.2504481917863534,0.1749487612894393,0.1323689360068044,revision_v55_major\outputs\revision\cross_dataset_detection_stress_severity\rtdetr_l_cw_seed0_to_phenobench\tableS_cross_dataset_detection_stress_severity.csv
CropAndWeed,PhenoBench-val,RT-DETR-L,representative_cross_dataset_detection_severity,jpeg,50,jpeg_quality_50,0.2382653769132794,0.2289132960725345,0.159671417115622,0.121666197817392,revision_v55_major\outputs\revision\cross_dataset_detection_stress_severity\rtdetr_l_cw_seed0_to_phenobench\tableS_cross_dataset_detection_stress_severity.csv
CropAndWeed,PhenoBench-val,RT-DETR-L,representative_cross_dataset_detection_severity,jpeg,30,jpeg_quality_30,0.2108168506914766,0.1984934188174872,0.1318637798287663,0.0976996967335018,revision_v55_major\outputs\revision\cross_dataset_detection_stress_severity\rtdetr_l_cw_seed0_to_phenobench\tableS_cross_dataset_detection_stress_severity.csv
CropAndWeed,PhenoBench-val,RT-DETR-L,representative_cross_dataset_detection_severity,low_resolution,0.75,low_resolution_0.75,0.2369839968157612,0.2615337929714771,0.1770995457641222,0.1339667767858221,revision_v55_major\outputs\revision\cross_dataset_detection_stress_severity\rtdetr_l_cw_seed0_to_phenobench\tableS_cross_dataset_detection_stress_severity.csv
CropAndWeed,PhenoBench-val,RT-DETR-L,representative_cross_dataset_detection_severity,low_resolution,0.5,low_resolution_0.5,0.2302179845734019,0.2402757991030488,0.1697303047440762,0.1281072546980098,revision_v55_major\outputs\revision\cross_dataset_detection_stress_severity\rtdetr_l_cw_seed0_to_phenobench\tableS_cross_dataset_detection_stress_severity.csv
CropAndWeed,PhenoBench-val,RT-DETR-L,representative_cross_dataset_detection_severity,low_resolution,0.25,low_resolution_0.25,0.2061406235829278,0.2260684640826278,0.1323904058667956,0.0945909089705775,revision_v55_major\outputs\revision\cross_dataset_detection_stress_severity\rtdetr_l_cw_seed0_to_phenobench\tableS_cross_dataset_detection_stress_severity.csv
CropAndWeed,PhenoBench-val,YOLO11m,representative_cross_dataset_detection_severity,clean,clean,clean,0.4687154898511876,0.2678443576485317,0.3400208662973903,0.2745693981041588,revision_v55_major\outputs\revision\cross_dataset_detection_stress_severity\yolo11m_cw_seed0_to_phenobench\tableS_cross_dataset_detection_stress_severity.csv
CropAndWeed,PhenoBench-val,YOLO11m,representative_cross_dataset_detection_severity,blur,3,gaussian_blur_3,0.460981951752003,0.2128057576123682,0.2419504681272292,0.1928262287918651,revision_v55_major\outputs\revision\cross_dataset_detection_stress_severity\yolo11m_cw_seed0_to_phenobench\tableS_cross_dataset_detection_stress_severity.csv
CropAndWeed,PhenoBench-val,YOLO11m,representative_cross_dataset_detection_severity,blur,5,gaussian_blur_5,0.4483808255511776,0.1895964013603656,0.2111937173897019,0.1497813283962704,revision_v55_major\outputs\revision\cross_dataset_detection_stress_severity\yolo11m_cw_seed0_to_phenobench\tableS_cross_dataset_detection_stress_severity.csv
CropAndWeed,PhenoBench-val,YOLO11m,representative_cross_dataset_detection_severity,blur,7,gaussian_blur_7,0.2089608433734939,0.1121665319320937,0.0865962655891597,0.0456811891793964,revision_v55_major\outputs\revision\cross_dataset_detection_stress_severity\yolo11m_cw_seed0_to_phenobench\tableS_cross_dataset_detection_stress_severity.csv
CropAndWeed,PhenoBench-val,YOLO11m,representative_cross_dataset_detection_severity,jpeg,70,jpeg_quality_70,0.4221678991649945,0.1533953112368633,0.1973622887017398,0.1722770013616792,revision_v55_major\outputs\revision\cross_dataset_detection_stress_severity\yolo11m_cw_seed0_to_phenobench\tableS_cross_dataset_detection_stress_severity.csv
CropAndWeed,PhenoBench-val,YOLO11m,representative_cross_dataset_detection_severity,jpeg,50,jpeg_quality_50,0.2266862903244962,0.1449893334003627,0.1458390245912861,0.1247546428458764,revision_v55_major\outputs\revision\cross_dataset_detection_stress_severity\yolo11m_cw_seed0_to_phenobench\tableS_cross_dataset_detection_stress_severity.csv
CropAndWeed,PhenoBench-val,YOLO11m,representative_cross_dataset_detection_severity,jpeg,30,jpeg_quality_30,0.064765022702665,0.1943390802966701,0.0416426232046787,0.0326507995655141,revision_v55_major\outputs\revision\cross_dataset_detection_stress_severity\yolo11m_cw_seed0_to_phenobench\tableS_cross_dataset_detection_stress_severity.csv
CropAndWeed,PhenoBench-val,YOLO11m,representative_cross_dataset_detection_severity,low_resolution,0.75,low_resolution_0.75,0.4738036191047863,0.2474920720123182,0.3061367072611662,0.2505687857664865,revision_v55_major\outputs\revision\cross_dataset_detection_stress_severity\yolo11m_cw_seed0_to_phenobench\tableS_cross_dataset_detection_stress_severity.csv
CropAndWeed,PhenoBench-val,YOLO11m,representative_cross_dataset_detection_severity,low_resolution,0.5,low_resolution_0.5,0.5257364342911216,0.2417573570630013,0.2771927481061277,0.2301444290630111,revision_v55_major\outputs\revision\cross_dataset_detection_stress_severity\yolo11m_cw_seed0_to_phenobench\tableS_cross_dataset_detection_stress_severity.csv
CropAndWeed,PhenoBench-val,YOLO11m,representative_cross_dataset_detection_severity,low_resolution,0.25,low_resolution_0.25,0.3195016799521946,0.3282424070919306,0.2514864561449887,0.2067838220541317,revision_v55_major\outputs\revision\cross_dataset_detection_stress_severity\yolo11m_cw_seed0_to_phenobench\tableS_cross_dataset_detection_stress_severity.csv
