task,model,train_dataset,test_dataset,scope,subgroup_type,subgroup,n_images,subgroup_value_mean,subgroup_value_median,primary_metric,primary_metric_mean,mAP50_mean,mAP50_95_mean,precision_mean,recall_mean,mIoU_mean,weed_IoU_mean,crop_IoU_mean,background_IoU_mean,note,run_id
detection,RT-DETR-L,cropandweed,cropandweed,in_domain,median_gt_box_area_quantile,large_objects,391,0.04189468432674436,0.0158308439417892,mAP50-95,0.780295614656232,0.9048479245947468,0.780295614656232,0.015822676896845696,0.9720899733766639,,,,,Grouped by per-image median normalized GT box area from YOLO labels.,rtdetr_l_cropandweed_indomain
detection,RT-DETR-L,cropandweed,cropandweed,in_domain,median_gt_box_area_quantile,medium_objects,390,0.002299513787936778,0.001886943565027575,mAP50-95,0.638286315993158,0.8489718115643712,0.638286315993158,0.02915384615384615,0.9464608962725735,,,,,Grouped by per-image median normalized GT box area from YOLO labels.,rtdetr_l_cropandweed_indomain
detection,RT-DETR-L,cropandweed,cropandweed,in_domain,median_gt_box_area_quantile,small_objects,391,0.0004926110379506266,0.0004547716283701,mAP50-95,0.5287043906022277,0.8142684464642606,0.5287043906022277,0.04358056265984654,0.9316925834194071,,,,,Grouped by per-image median normalized GT box area from YOLO labels.,rtdetr_l_cropandweed_indomain
detection,RT-DETR-L,phenobench,phenobench,in_domain,median_gt_box_area_quantile,large_objects,257,0.011056692211401084,0.0050325392211914,mAP50-95,0.6725510346630127,0.8118596056191488,0.6725510346630127,0.04261997405966277,0.889588831797423,,,,,Grouped by per-image median normalized GT box area from YOLO labels.,rtdetr_l_phenobench_indomain
detection,RT-DETR-L,phenobench,phenobench,in_domain,median_gt_box_area_quantile,medium_objects,257,0.001484653824415392,0.0014019011767578001,mAP50-95,0.5299195666580354,0.7166174638078947,0.5299195666580354,0.045603112840466926,0.8369103672936723,,,,,Grouped by per-image median normalized GT box area from YOLO labels.,rtdetr_l_phenobench_indomain
detection,RT-DETR-L,phenobench,phenobench,in_domain,median_gt_box_area_quantile,small_objects,258,0.0005114281749447377,0.0005292893774414,mAP50-95,0.4551288808475608,0.6835864753587778,0.4551288808475608,0.03493540051679587,0.8249059094344806,,,,,Grouped by per-image median normalized GT box area from YOLO labels.,rtdetr_l_phenobench_indomain
detection,RT-DETR-L,cropandweed,phenobench,cross_dataset,median_gt_box_area_quantile,large_objects,257,0.011056692211401084,0.0050325392211914,mAP50-95,0.49476625906055444,0.6256449688160921,0.49476625906055444,0.036394293125810634,0.7688604588576898,,,,,Grouped by per-image median normalized GT box area from YOLO labels.,rtdetr_l_train_cropandweed_test_phenobench
detection,RT-DETR-L,cropandweed,phenobench,cross_dataset,median_gt_box_area_quantile,medium_objects,257,0.001484653824415392,0.0014019011767578001,mAP50-95,0.321910168437345,0.44656047561406087,0.321910168437345,0.03555123216601816,0.6423820708247985,,,,,Grouped by per-image median normalized GT box area from YOLO labels.,rtdetr_l_train_cropandweed_test_phenobench
detection,RT-DETR-L,cropandweed,phenobench,cross_dataset,median_gt_box_area_quantile,small_objects,258,0.0005114281749447377,0.0005292893774414,mAP50-95,0.19969079545925308,0.2789534932000649,0.19969079545925308,0.020839793281653748,0.4478704505363951,,,,,Grouped by per-image median normalized GT box area from YOLO labels.,rtdetr_l_train_cropandweed_test_phenobench
detection,RT-DETR-L,phenobench,cropandweed,cross_dataset,median_gt_box_area_quantile,large_objects,391,0.04189468432674436,0.0158308439417892,mAP50-95,0.39629714369416796,0.5146562710893238,0.39629714369416796,0.011270247229326515,0.6784806018382898,,,,,Grouped by per-image median normalized GT box area from YOLO labels.,rtdetr_l_train_phenobench_test_cropandweed
detection,RT-DETR-L,phenobench,cropandweed,cross_dataset,median_gt_box_area_quantile,medium_objects,390,0.002299513787936778,0.001886943565027575,mAP50-95,0.2787640201476059,0.4231719034453688,0.2787640201476059,0.018393162393162393,0.6374173109111005,,,,,Grouped by per-image median normalized GT box area from YOLO labels.,rtdetr_l_train_phenobench_test_cropandweed
detection,RT-DETR-L,phenobench,cropandweed,cross_dataset,median_gt_box_area_quantile,small_objects,391,0.0004926110379506266,0.0004547716283701,mAP50-95,0.21588121440402744,0.40288939394058504,0.21588121440402744,0.031048593350383635,0.6512078495292155,,,,,Grouped by per-image median normalized GT box area from YOLO labels.,rtdetr_l_train_phenobench_test_cropandweed
detection,YOLO11m,cropandweed,cropandweed,in_domain,median_gt_box_area_quantile,large_objects,391,0.04189468432674436,0.0158308439417892,mAP50-95,0.8334067414798212,0.9486059057984341,0.8334067414798212,0.22912829880300706,0.9872761119244494,,,,,Grouped by per-image median normalized GT box area from YOLO labels.,yolo11m_cropandweed_indomain
detection,YOLO11m,cropandweed,cropandweed,in_domain,median_gt_box_area_quantile,medium_objects,390,0.002299513787936778,0.001886943565027575,mAP50-95,0.6922779343234179,0.898648854669896,0.6922779343234179,0.18618156823124227,0.9745668242257087,,,,,Grouped by per-image median normalized GT box area from YOLO labels.,yolo11m_cropandweed_indomain
