source,source_file,accuracy,balanced_accuracy,macro_f1,ece,brier,high_conf_wrong_0.9,precision,recall,mAP50,mAP50-95,miou,iou_background,iou_crop,iou_weed,task,seed,model,train_dataset,test_dataset,scope,primary_metric_name,primary_metric,loss
seed0_formal,convnextv2_tiny_cropandweed_indomain_300ep.csv,0.8740801308258381,0.8723594961240311,0.8471944570649705,0.08988877470534258,0.22344862969827028,48.0,,,,,,,,,classification,0,convnextv2_tiny,cropandweed,cropandweed,in_domain,balanced_accuracy,0.8723594961240311,
seed0_formal,convnextv2_tiny_train_cropandweed_test_phenobench_300ep.csv,0.28886010362694303,0.5859636537541846,0.2565242788954905,0.5368446692283907,1.1032333699672772,269.0,,,,,,,,,classification,0,convnextv2_tiny,cropandweed,phenobench,cross_dataset,balanced_accuracy,0.5859636537541846,
seed0_formal,convnextv2_tiny_train_phenobench_test_cropandweed_300ep.csv,0.39084219133278825,0.5098093161683278,0.39081612526869325,0.26018766779833313,0.6565916935045544,8.0,,,,,,,,,classification,0,convnextv2_tiny,phenobench,cropandweed,cross_dataset,balanced_accuracy,0.5098093161683278,
seed0_formal,convnextv2_tiny_phenobench_indomain_300ep.csv,0.211139896373057,0.5733699984058664,0.19848612709372201,0.37250814196976967,0.6468162862956911,0.0,,,,,,,,,classification,0,convnextv2_tiny,phenobench,phenobench,in_domain,balanced_accuracy,0.5733699984058664,
seed0_formal,dinov2_small_cropandweed_indomain_300ep.csv,0.8258381030253475,0.8427169850498339,0.7988463543174842,0.02192874746252449,0.24465336088582001,31.0,,,,,,,,,classification,0,dinov2_small_linear,cropandweed,cropandweed,in_domain,balanced_accuracy,0.8427169850498339,
seed0_formal,dinov2_small_train_cropandweed_test_phenobench_300ep.csv,0.7059585492227979,0.7480073330145066,0.5062200094110222,0.04656545269674589,0.3962826027129551,1.0,,,,,,,,,classification,0,dinov2_small_linear,cropandweed,phenobench,cross_dataset,balanced_accuracy,0.7480073330145066,
seed0_formal,dinov2_small_train_phenobench_test_cropandweed_300ep.csv,0.7424366312346689,0.5199179817275748,0.47360330558185865,0.029295846953902794,0.3623909764736716,0.0,,,,,,,,,classification,0,dinov2_small_linear,phenobench,cropandweed,cross_dataset,balanced_accuracy,0.5199179817275748,
seed0_formal,dinov2_small_phenobench_indomain_300ep.csv,0.5518134715025906,0.723497529092938,0.42369165976249656,0.29128465952033206,0.3144223755085591,0.0,,,,,,,,,classification,0,dinov2_small_linear,phenobench,phenobench,in_domain,balanced_accuracy,0.723497529092938,
seed0_formal,efficientnetv2_s_cropandweed_indomain_300ep.csv,0.8814390842191333,0.8712901439645626,0.8535115189253353,0.10065408622448499,0.21412738215724783,69.0,,,,,,,,,classification,0,efficientnetv2_s,cropandweed,cropandweed,in_domain,balanced_accuracy,0.8712901439645626,
seed0_formal,efficientnetv2_s_train_cropandweed_test_phenobench_300ep.csv,0.5492227979274611,0.6800573888091822,0.41667535174570086,0.29238033526302004,0.745232506923828,207.0,,,,,,,,,classification,0,efficientnetv2_s,cropandweed,phenobench,cross_dataset,balanced_accuracy,0.6800573888091822,
