path	bytes	sha256
.github/workflows/smoke-test.yml	357	1dbf75084a9782b5b498157b208f5ded9eae4156a2ba50f7685c96af29663870
.gitignore	226	720a82ec61cc8a25e95c7c0e10f7c018beb845ff752b55eadb0f6df0d7542fd4
.zenodo.json	1266	3ef287ca1750bbc066eab2328d90916f196d52b6b9c23d93375675e489e5b9c6
CITATION.cff	1625	55df046763e6a1cc330c024b72649da376b9317ebe40bffe5c22e0df9ae22790
configs/datasets/agriculture_vision.yaml	409	8ba71228b8ece6f5bc8cb0a091b8beb3fe9ddb605359d1eaa6c3cee5cb790b05
configs/datasets/cropandweed.yaml	1261	0bd73795fb23eab2fb8991a37b563c6215a352a5696f4de97e066a90c9bfca51
configs/datasets/cwd30.yaml	231	68be8c901f3d60f4774b9ab71be4ab650bc1c5df482d48b2ea613f5f37646c1c
configs/datasets/deepweeds.yaml	263	ac647c1b4a0f4b1660730b88f73f703f3fcb976dc3692df55a3300e5a1f87611
configs/datasets/phenobench.yaml	861	8eef305a6814d4eaafb7b0de4abbaaea77966b6480ad0a1ec51e9b9108554ad2
configs/datasets/weedmap.yaml	240	a35b72fe464d69c87d91633dc9860ffab31ba9d625c96a2a1564423ad517039a
configs/experiments/cross_dataset.yaml	695	0183cf72ea330f286b8d5754824fd8b00078f142bea741aa43504828908f16a3
configs/experiments/label_budget.yaml	232	8e0a1403c9401c8d09f05cc8474ac3fb342db5a58906ce1d3778f9557daa7892
configs/experiments/models.yaml	651	50c2c80d54c643c6063c5b4a5b623d3820349b31acc7157ef8a910f4a5a7af26
configs/experiments/stress_tests.yaml	303	2b96aeccad1f682b08fb8779646e925474b85246198589018210575e05553b72
configs/label_maps/cwd30_cropandweed.yaml	157	911ee0e254d9e876d17e58a2c42a94266e5763f0db4729e15c4f70390d07dc05
configs/label_maps/cwd30_deepweeds.yaml	289	0ada611632241ac66dc593aecd472df3e729ef5ba25375bccbd1b10846bea45f
configs/models/classification_baselines.yaml	700	4ba03b7df22614e40e005a49cd6028704a3ab9bb98858ad277efc7e37405aac7
configs/models/recommended_benchmark_models.yaml	1978	b425a1fa597757467ec99a1bf4482b5852ce515ad7b5bc793c91e29d27fbcb27
configs/models/segmentation_baselines.yaml	366	f7b6af72f0435f89b50bf871184e20169af9157c2743dfc6272a3204a9d82af1
configs/stressors/image_quality.yaml	551	076074f7926356b950695625bdbec0b5227eb6a46b1efd58815f8c896a1e525c
configs/stressors/sensor_ablation.yaml	382	198075a5f571ba85f8e6c332ea81df9a340938e660cff8341be60c5d374d9627
data/processed/.gitkeep	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
data/raw/.gitkeep	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
DATA_AND_CODE_AVAILABILITY.md	1118	f1b009c15a774aaa473d1bbd6b82e8d61a6d55e6ae820a56334bfc24ff0aab96
DATASETS.md	1341	c925c05e9505eec681953eed60fea95e5d8c903e3dfe3e851da7f5c5a8441eae
environment.yml	344	922f651ca58f0e36bd8266584302b511da97c772268be0e5a8c7bd2596c994a9
GITHUB_PUBLISHING.md	1172	a08a0b900b2be3fb1831cffb48fdbd594ba059e78f21036e52c5ae8204a5b857
LICENSE	1129	757b9934a0e5262a8fc11816dda01d4a4a9f02ffa71ce4ed979fafd9816c4672
paper_artifacts/figures/benchmark_pipeline_schematic.pdf	29499	e151754b0bee2379ba70fce6e4acbf5d8b03ff0db8e3ed05d0040e77791cfdff
paper_artifacts/figures/classification_pareto_latency_external.pdf	21199	01ca79b5c2fa3a7e304ddcf75805f2c56b3f6aae4ccefb1a18b17479b2204fdd
paper_artifacts/figures/classification_reliability_diagrams.pdf	19167	fb0910091c6f0f7e142fd18a105800ff7552cc02e9954f8a74dbb40174cece7f
paper_artifacts/figures/classification_risk_coverage_curves.pdf	28189	244f29bd49d7ac9395db89ba3620005c9b5102e17af10335533dadab56887fb8
paper_artifacts/figures/classification_stress_readable.pdf	23279	b3d7f8c063f731f4d5db742573a9b0e742516320d3b03e88c9680e1361cec6f6
paper_artifacts/figures/detection_pareto_latency_external.pdf	20610	c5dfa7b3672c832157c741d4b7f0260a1d21bc34cd19821dfce6b25dd1aa073f
paper_artifacts/figures/detection_stress_readable.pdf	24614	abe4149b4c0ad8f997aad1884dead9f5d7ebd319284c40299cd1eff6b56a2e6f
paper_artifacts/figures/failure_audit_summary_classification.pdf	425252	823ef745ab3ac4ea94530e035979a312c9e603e455580bb52866c65fdd294874
paper_artifacts/figures/failure_audit_summary_dense_stress.pdf	177492	692ef84f8afea75fdbba9c702de203bf41aef910f69a7e16cac5537f3bf700c3
paper_artifacts/figures/label_harmonization_real_examples.pdf	754287	f0f2797b9e00d30df8200e41ef26c825ce7c4ff17883ed0867d6a8b04100ff0f
paper_artifacts/figures/segmentation_pareto_latency_external.pdf	20920	73b113f8d1a372de229cacc132fe04618c72dca572596e11627dac7bc693c497
paper_artifacts/figures/segmentation_stress_readable.pdf	23961	a2a7f85dce7912cd6b776e04add5cbf9d58c8960ee5fa10667035080d5efa548
paper_artifacts/figures/stress_severity_curves_classification.pdf	27182	8882920c5222bb4fa516d7617ce15afb3a22858dfa51e536d30636f708580843
paper_artifacts/figures/stress_severity_curves_segmentation.pdf	26489	5a76b3eda2071fce29b45e271251b81863886c21312ba88515baa3bc6668f10b
paper_artifacts/revision_outputs/cross_dataset_detection_stress_severity/rtdetr_l_cw_seed0_to_phenobench/eval_runs/clean/metrics.json	219	23805faa0bdd53bca06dd4ace94bc4c2031ec59dfd8c34de629f23ab37783737
paper_artifacts/revision_outputs/cross_dataset_detection_stress_severity/rtdetr_l_cw_seed0_to_phenobench/eval_runs/gaussian_blur_3/metrics.json	222	3d9601b8bdc6faeef974c8422f03c0469dd8259f6811df7b35dad2957c846be6
paper_artifacts/revision_outputs/cross_dataset_detection_stress_severity/rtdetr_l_cw_seed0_to_phenobench/eval_runs/gaussian_blur_5/metrics.json	222	2dc33912bcbd72ee320bd2580a1c543f9f6f1b002917bb80c6b824acbc6ae657
paper_artifacts/revision_outputs/cross_dataset_detection_stress_severity/rtdetr_l_cw_seed0_to_phenobench/eval_runs/gaussian_blur_7/metrics.json	222	3c7e4bfed9dab1f6dba4a6a16ed16bb87f847fdca99c2f0645e620caa4bd4ec1
paper_artifacts/revision_outputs/cross_dataset_detection_stress_severity/rtdetr_l_cw_seed0_to_phenobench/eval_runs/jpeg_quality_30/metrics.json	220	b13d94f5795b63438f2e628bd4c7ba55a58abcf59c9c340b9aff65dd99f37309
paper_artifacts/revision_outputs/cross_dataset_detection_stress_severity/rtdetr_l_cw_seed0_to_phenobench/eval_runs/jpeg_quality_50/metrics.json	216	0870ef0b7a5103a3b453a48f2e09c955f21ca819a6a22d4732c4b374a6ee73a6
paper_artifacts/revision_outputs/cross_dataset_detection_stress_severity/rtdetr_l_cw_seed0_to_phenobench/eval_runs/jpeg_quality_70/metrics.json	220	45c493344dc03eee21a573bc3ed132c04ed9e0e45a04a7d566184f07d0717fa8
paper_artifacts/revision_outputs/cross_dataset_detection_stress_severity/rtdetr_l_cw_seed0_to_phenobench/eval_runs/low_resolution_0.25/metrics.json	219	7e806e3f8a788c82d0a3ea1ce08e893573bb9488818b4775d82bbd429b0f29d4
paper_artifacts/revision_outputs/cross_dataset_detection_stress_severity/rtdetr_l_cw_seed0_to_phenobench/eval_runs/low_resolution_0.5/metrics.json	221	8115a250c589fbf5c49f94893dca21d4247c86c0d241d78bc448ebbdc25809ee
paper_artifacts/revision_outputs/cross_dataset_detection_stress_severity/rtdetr_l_cw_seed0_to_phenobench/eval_runs/low_resolution_0.75/metrics.json	221	3c8b3f7db4a09db3b2dd8784b9888402961b47c99421c0fb5771c0d067d6b68a
paper_artifacts/revision_outputs/cross_dataset_detection_stress_severity/rtdetr_l_cw_seed0_to_phenobench/figureS_cross_dataset_detection_stress_severity.pdf	17272	e904c45f9e40734e69940f319bb9478921d04868ad61f43dad82207210f63ce0
paper_artifacts/revision_outputs/cross_dataset_detection_stress_severity/rtdetr_l_cw_seed0_to_phenobench/figureS_cross_dataset_detection_stress_severity.png	70821	f254cf1ada0646c41c5a8b2d7d67da8643271c1289aca13a2d6d602f05d7fa52
paper_artifacts/revision_outputs/cross_dataset_detection_stress_severity/rtdetr_l_cw_seed0_to_phenobench/tableS_cross_dataset_detection_stress_severity.csv	2037	6cd37c5fb9da14d5de610def36e237f96eee7e76c13ced11cab0f03c3b088b9d
paper_artifacts/revision_outputs/cross_dataset_detection_stress_severity/yolo11m_cw_seed0_to_phenobench/eval_runs/clean/metrics.json	218	8b81936571ded79b1c3cd57f7fd7a88594a845523baa3c4c7293c4799c5a28bd
paper_artifacts/revision_outputs/cross_dataset_detection_stress_severity/yolo11m_cw_seed0_to_phenobench/eval_runs/gaussian_blur_3/metrics.json	220	5bc1eda94ab389113b0d2b88e822933012e5aa35292b74e52f7837bdf687f6d5
paper_artifacts/revision_outputs/cross_dataset_detection_stress_severity/yolo11m_cw_seed0_to_phenobench/eval_runs/gaussian_blur_5/metrics.json	221	c4dc5dd0400c4c5966913b7f778514bcf1b2c92b4b8a73dd8144b2996f4e1e12
paper_artifacts/revision_outputs/cross_dataset_detection_stress_severity/yolo11m_cw_seed0_to_phenobench/eval_runs/gaussian_blur_7/metrics.json	223	5f1761ad05f8033118d27b3844d5635a2e1bd6b8cd42aff84bbdd71c4d1864e9
paper_artifacts/revision_outputs/cross_dataset_detection_stress_severity/yolo11m_cw_seed0_to_phenobench/eval_runs/jpeg_quality_30/metrics.json	222	b9695a08c32087caa726b25ab2d00146e8569ee4f91618f0f73605a98da4c705
