source_train,target_test,model,audit_scope,corruption_family,severity,corruption,precision,recall,mAP50,mAP50_95
phenobench,CropAndWeed-sample,YOLO11m,representative_cross_dataset_detection_severity,clean,clean,clean,0.3253840701998197,0.24382717804725218,0.15301157794286174,0.0747086911864134
phenobench,CropAndWeed-sample,YOLO11m,representative_cross_dataset_detection_severity,blur,3,gaussian_blur_3,0.31601429211902987,0.27127622560687775,0.15295133851064857,0.07381509706371807
phenobench,CropAndWeed-sample,YOLO11m,representative_cross_dataset_detection_severity,blur,5,gaussian_blur_5,0.29816013982025286,0.23276502612315167,0.12448583159057931,0.058249915156875734
phenobench,CropAndWeed-sample,YOLO11m,representative_cross_dataset_detection_severity,blur,7,gaussian_blur_7,0.2548448094975276,0.19021734221311953,0.09600009096691231,0.043856160777099744
phenobench,CropAndWeed-sample,YOLO11m,representative_cross_dataset_detection_severity,jpeg,70,jpeg_quality_70,0.29618898725713394,0.20652623570602985,0.11918247854882669,0.05334076632971112
phenobench,CropAndWeed-sample,YOLO11m,representative_cross_dataset_detection_severity,jpeg,50,jpeg_quality_50,0.26226187370596044,0.15832290938677085,0.08081548186942866,0.038626433105652634
phenobench,CropAndWeed-sample,YOLO11m,representative_cross_dataset_detection_severity,jpeg,30,jpeg_quality_30,0.19363022582423808,0.13128476995334065,0.051609777084695496,0.024134701489699026
phenobench,CropAndWeed-sample,YOLO11m,representative_cross_dataset_detection_severity,low_resolution,0.75,low_resolution_0.75,0.31830623493475363,0.264840198306453,0.16131608392531888,0.07823472104193072
phenobench,CropAndWeed-sample,YOLO11m,representative_cross_dataset_detection_severity,low_resolution,0.5,low_resolution_0.5,0.3220726469020576,0.273476879915132,0.16359459951031216,0.07924829449159852
phenobench,CropAndWeed-sample,YOLO11m,representative_cross_dataset_detection_severity,low_resolution,0.25,low_resolution_0.25,0.33392764882549475,0.27307317758736716,0.164099637214765,0.0798543644884084
