source_train,target_test,model,audit_scope,corruption_family,severity,corruption,precision,recall,mAP50,mAP50_95
phenobench,CropAndWeed-sample,YOLO11m,representative_cross_dataset_detection_severity,clean,clean,clean,0.26315554374564465,0.24020162620424523,0.13581966771177792,0.06356418445896411
phenobench,CropAndWeed-sample,YOLO11m,representative_cross_dataset_detection_severity,blur,3,gaussian_blur_3,0.3458872360125789,0.2836811680797401,0.16585931655805503,0.07964147312049798
phenobench,CropAndWeed-sample,YOLO11m,representative_cross_dataset_detection_severity,blur,5,gaussian_blur_5,0.302945065682605,0.25238172821283655,0.13529617183156875,0.06243190840651926
phenobench,CropAndWeed-sample,YOLO11m,representative_cross_dataset_detection_severity,blur,7,gaussian_blur_7,0.25342847948948577,0.20952341682861558,0.10808861848102949,0.04982611888049686
phenobench,CropAndWeed-sample,YOLO11m,representative_cross_dataset_detection_severity,jpeg,70,jpeg_quality_70,0.26618228227430096,0.20747422895971412,0.11659121433726621,0.05244611829990179
phenobench,CropAndWeed-sample,YOLO11m,representative_cross_dataset_detection_severity,jpeg,50,jpeg_quality_50,0.22259851341457887,0.1795893494754795,0.0853382099553266,0.03830041498148729
phenobench,CropAndWeed-sample,YOLO11m,representative_cross_dataset_detection_severity,jpeg,30,jpeg_quality_30,0.18414718667313318,0.12318420092127727,0.05683333470734945,0.026238232269986624
phenobench,CropAndWeed-sample,YOLO11m,representative_cross_dataset_detection_severity,low_resolution,0.75,low_resolution_0.75,0.29717485110818664,0.2554550500131979,0.1502870381409874,0.07146340228845624
phenobench,CropAndWeed-sample,YOLO11m,representative_cross_dataset_detection_severity,low_resolution,0.5,low_resolution_0.5,0.32027653049315674,0.26297743710420923,0.15980055812728955,0.07589605194217597
phenobench,CropAndWeed-sample,YOLO11m,representative_cross_dataset_detection_severity,low_resolution,0.25,low_resolution_0.25,0.3489267265066103,0.2898055642630869,0.1715147719158853,0.08025966119669645
